post_id,source_credibility,has_citation,emotional_tone,all_caps_ratio,exclamation_count,reading_level,user_past_accuracy,label_is_true
1,0.6397378201908431,1,0.052059282544355316,0.04044222879176098,0,8.507420475093728,0.8818498382148267,1
2,0.9056960661918463,1,0.1370434115193483,0.18874365544346644,0,5.981961954976043,0.6695804296053932,1
3,0.8933070645916199,1,0.33038653506897203,0.1020590853603498,1,6.082792550478128,0.8383165853963499,1
4,0.8789627167517778,0,0.3340666435688233,0.019345786545785056,0,10.0,0.8031788598731001,1
5,0.9696152616801766,1,0.2900183528483494,0.06309948136529711,0,7.871881414786771,0.7199304798973707,1
6,0.9361720652097879,0,0.42179495816949014,0.38861320665276267,0,7.1534976557246015,0.7777396214127986,1
7,0.7317480662868641,0,0.12161814794569216,0.2827932539092466,0,9.752647141368335,0.8644271962099306,1
8,0.7743231539369723,1,0.11810743094425223,0.29037074682798236,0,8.952635437542755,0.7633861144478202,1
9,0.8483263056404259,1,0.14078381380332805,0.007751669297411065,1,8.583327510010616,0.8738642125745176,1
10,0.09508937549960673,0,0.3053375537311091,0.7546351461052646,0,3.763002082571716,0.25762887829992187,0
11,0.7468105509648126,1,0.4313169200990927,0.21463636370795144,0,7.5119044143178915,0.7172492236993275,1
12,0.5840770265868487,1,0.2021186496530411,0.13633391993001956,0,6.96988450016137,0.650560367318798,1
13,0.45791976281766683,1,0.6427896556994532,0.6991722260590469,2,4.151595599562692,0.31258430257026565,0
14,0.2504023357960799,0,0.7905179239828564,0.5844272928300689,1,5.134200742794115,0.25338714003124013,0
15,0.1639708308663222,0,0.7616887110890732,0.6932823467246871,7,7.015346166617778,0.4298746309078887,0
16,0.05217027543332903,0,0.5005045660669579,0.3338763352750852,1,3.0835471139628163,0.4051068422993683,0
17,0.9944263756613957,0,0.18456137827454083,0.02087397938171924,0,8.635251683049098,0.9709044475740094,1
18,0.8087317019520928,1,0.2164762274538059,0.0018753271164090918,0,9.664934722738925,0.7539472874780114,1
19,0.4344897236722668,0,0.2921185154158987,0.19263863617433954,0,8.461377790646988,0.9663399777296477,1
20,0.8665440521348537,0,0.11721198300869734,0.00796082150911041,0,9.273228608102416,0.7157507606554254,1
21,0.15110024082785878,0,0.9484691524937899,0.5470856572491379,0,2.7080143117069286,0.7285860303637461,0
22,0.650687853570254,1,0.6659456928011881,0.3333554724038107,0,6.11745978806102,0.6603842844029085,1
23,0.7535209408078136,0,0.4669020033288637,0.0037217299886378075,1,6.953708376478651,0.7969846428209353,1
24,0.30664113357528533,0,0.7502005692497069,0.6379988174674152,1,2.467785127273885,0.25422096498259916,0
25,0.8572226356836175,1,0.27903978950917585,0.15741634164065468,1,6.966811096889323,0.8108131013515616,1
26,0.9576967272663583,1,0.08536389029033001,0.026128459772448327,0,9.643040964587346,0.7689839981693135,1
27,0.6224920106330969,0,0.6383247910793597,0.40123235972236765,1,7.447130470564632,0.2817326468205739,0
28,0.6763973769860648,0,0.21657516596689053,0.12220929965386435,0,8.888176103986767,0.7150617633715365,1
29,0.7368624525068092,1,0.6449875102950348,0.005187248117143115,1,6.86411863958328,0.6703051369478344,1
30,0.7007396279175133,1,0.36265607052698373,0.05689797461434634,0,9.014776211549739,0.8613461560109684,1
31,0.9142334718382784,1,0.06553556197135063,0.059700846844295004,0,6.653803032714439,0.8956603112753694,1
32,0.11980507861314786,0,0.6038290895988435,0.48905313630947395,3,6.357220020551748,0.13505464053335606,0
33,0.9477754865280463,1,0.31407085914137484,0.13091605979024723,0,9.209954668507194,0.7631992133650151,1
34,0.8597228692510877,1,0.08997621224587979,0.009851020223980387,0,7.718385559507324,0.6784161558377253,1
35,0.5408892463991778,1,0.15088401031148682,0.0249943455777965,0,6.495556481676408,0.8676144286229408,1
36,0.764258923825467,1,0.1675088005872323,0.2841307946159261,0,6.269875152994593,0.8380912395174891,1
37,0.5622366662651488,0,0.4265920078546176,0.6600052871692071,0,6.688807691436076,0.5028183312916749,0
38,0.3512111315093458,0,0.8863085259121176,0.9411215860924046,2,6.7394804657698595,0.26730081865263167,0
39,0.2151944448749316,0,0.7327694525586428,0.5801309565685964,1,5.656053951036611,0.3344876823404957,0
40,0.817015954226805,1,0.3212867815453612,0.06002648181420708,0,6.882783397450748,0.8289386185220831,0
41,0.5279132265880849,1,0.2047864537479489,0.04003843031297155,0,8.30451416179848,0.772910327216416,1
42,0.8079661856504452,1,0.13922169335122453,0.2363203259879242,0,8.19082103055981,0.564816014514814,1
43,0.15421681796744932,0,0.8662639600769347,0.7828565409971148,4,6.516117522377992,0.28992950214885993,0
44,0.30381333191245563,0,0.8711181933919766,0.7246525241804922,3,9.053429670617506,0.42868583039360075,1
45,0.8790930354968354,0,0.07948765271240665,0.20324694648976782,1,6.295460449766727,0.5518271102630907,1
46,0.9651417349073321,1,0.10338163346950338,0.03849726339257048,0,7.73726355969451,0.8485795008190518,1
47,0.9708533276745349,1,0.23765688378702415,0.23083741212015296,0,7.202815079578285,0.75269782459554,1
48,0.354437003138181,0,0.7665499129719237,0.5927202079261193,1,4.003930797592222,0.2194571724886471,0
49,0.8890304858298275,1,0.4780076162476294,0.048619033669127766,0,5.36006873612508,0.7520928337428471,1
50,0.8720458196195429,1,0.06972968089199756,0.2626912773283652,0,5.419596640273534,0.848187030577176,1
51,0.649471178124395,1,0.2831946964077599,0.0732857400571483,0,9.187092938834047,0.8507849196678485,0
52,0.7780242509387869,0,0.32931508857387554,0.0696176373389019,0,6.222967820195266,0.8815439393781819,1
53,0.8766476185919677,0,0.2827474931305024,0.4036459270048243,1,10.0,0.6984051078590747,0
54,0.8252133028851758,1,0.34159201471751593,0.3626759602603442,0,8.093351829366636,0.8238153246984646,1
55,0.8840325173601943,1,0.2559575642092911,0.10435591010403922,0,7.21409287985338,0.5707873011193205,1
56,0.23742651107988996,1,0.8307202738196001,0.5973383526989196,1,6.203635596722129,0.13016577268079335,0
57,0.7698734707520813,1,0.3987462687899046,0.061049336060291955,0,10.0,0.8813909494436545,1
58,0.989737338824087,1,0.16999420762641249,0.24475855393046886,1,7.11053897339382,0.9398763689998635,0
59,0.623303731552145,1,0.5583537184181481,0.12484138571103302,0,8.649421275340776,0.9228089695828087,1
60,0.16274811394448493,1,0.5846982916871373,0.35054193160536656,3,6.789040483948685,0.26432213834113294,0
61,0.8190840334645155,1,0.42821617293118835,0.11207448842778678,0,7.780637674419845,0.7175860887109833,1
62,0.07418213388025774,0,0.6862350684841372,0.36557919841746433,4,6.297488487254027,0.5048124274458051,0
63,0.3146914830386313,1,0.3954465395903054,0.5526921161245141,3,3.8493684553491874,0.28646699783938573,0
64,0.9226942611768274,0,0.08388015334717493,0.05928445308170565,0,6.086729979041827,0.8832110411828963,0
65,0.851616429360597,1,0.212336940506285,0.021771512092752108,1,6.929206134875228,0.6721721249954745,1
66,0.7910039990604983,1,0.20752453886956318,0.33686801149293977,1,8.154045270247082,0.9132922675918228,0
67,0.8168410310781151,1,0.7346318043801968,0.11716160978065811,0,7.647841804843159,0.7860240500961354,1
68,0.835357477063149,1,0.2855152175547731,0.2372157284777822,1,7.235183232109832,0.7869323021846549,1
69,0.3049686436396631,0,0.38372137061373013,0.3883486192121372,1,2.8099348192983475,0.4768944116003445,0
70,0.07359290435353322,0,0.5058986362024251,0.1644001480761072,2,4.028568705486621,0.5820754167789925,0
71,0.0974071735781055,0,0.5939867643316713,0.40294456651566257,0,5.172754468756458,0.47264699483099676,0
72,0.13284839513113175,1,0.7137709364024096,0.6522610979093078,3,5.171695588821011,0.3031367419111275,0
73,0.590133711754481,1,0.3844464836739512,0.11380911726656906,0,7.520713322006502,0.9362854686128356,0
74,0.3296334111726008,0,0.4891870277270688,0.6877947237556633,4,4.309816748799983,0.7040035816571688,0
75,0.9002846812094638,1,0.15782073719877696,0.17685399853732975,0,7.697422176616686,0.6726860694923698,1
76,0.7999059716787897,0,0.1985874446292763,0.1850416592425776,0,8.90247133663397,0.9531379872661329,1
77,0.48866114385551046,0,0.693250447799034,0.42232739114758694,1,5.02685636559531,0.09396242680976219,0
78,0.9076573475345013,1,0.4594473366349536,0.060548339390666894,0,8.63304040323678,0.9459264791510804,1
79,0.11865534636338643,0,0.5347111271658929,0.7688500049361409,1,6.155409199003018,0.22732127396959784,0
80,0.13466185816620324,0,0.6579543363337663,0.5641401850238713,0,5.148386329256966,0.2629357159555924,0
81,0.7660564687909652,1,0.24861391742235509,0.322677027687151,0,8.413580020379925,0.834959819614222,1
82,0.5539245508586957,1,0.37919956971619995,0.017546540319418397,0,6.846558373162862,0.9171208732926824,1
